key,en,zh-Hans,zh-Hant,ar,de,es,fr,id,it,ja,ko,nl,pl,pt,ru,th,tr,vi
a11y.channel_preferences,Channel preferences,频道偏好,頻道偏好,تفضيلات القناة,Kanaleinstellungen,Preferencias de canal,Préférences de la chaîne,Preferensi saluran,Preferenze del canale,チャンネル設定,채널 설정,Kanaalvoorkeuren,Preferencje kanału,Preferências de canal,Настройки канала,การตั้งค่าช่อง,Kanal tercihleri,Tùy chọn kênh
a11y.click_to_seek,Click to seek,点击跳转,點擊跳轉,انقر للانتقال,Klicken zum Suchen,Clic para buscar,Cliquer pour chercher,Klik untuk mencari,Clicca per cercare,クリックで移動,클릭하여 탐색,Klik om te scrollen,"Kliknij, aby przewinąć",Clique para avançar,Нажмите для перемотки,คลิกเพื่อค้นหา,Atlamak için tıkla,Nhấp để tua
a11y.menu,Menu,菜单,選單,القائمة,Menü,Menú,Menu,Menu,Menu,メニュー,메뉴,Menu,Menu,Menu,Меню,เมนู,Menü,Menu
a11y.next_line,Next line (→),下一行（→）,下一行（→）,السطر التالي (→),Nächste Zeile (→),Siguiente línea (→),Ligne suivante (→),Baris berikutnya (→),Riga successiva (→),次の行（→）,다음 줄 (→),Volgende regel (→),Następna linia (→),Próxima linha (→),Следующая строка (→),บรรทัดถัดไป (→),Sonraki satır (→),Dòng tiếp theo (→)
a11y.next_video,Next video (Shift + →),下一个视频（Shift + →）,下一部影片（Shift + →）,الفيديو التالي (Shift + →),Nächstes Video (Shift + →),Siguiente video (Mayús + →),Vidéo suivante (Maj + →),Video berikutnya (Shift + →),Video successivo (Shift + →),次の動画（Shift + →）,다음 동영상 (Shift + →),Volgende video (Shift + →),Następny film (Shift + →),Próximo vídeo (Shift + →),Следующее видео (Shift + →),วิดีโอถัดไป (Shift + →),Sonraki video (Shift + →),Video tiếp theo (Shift + →)
a11y.pause,Pause (Space),暂停（空格）,暫停（空白鍵）,إيقاف مؤقت (مسافة),Pause (Leertaste),Pausa (Espacio),Pause (Espace),Jeda (Spasi),Pausa (Spazio),一時停止（スペース）,일시 정지 (Space),Pauze (Spatie),Pauza (Spacja),Pausar (Espaço),Пауза (Пробел),หยุดชั่วคราว (Space),Duraklat (Boşluk),Tạm dừng (Space)
a11y.play,Play (Space),播放（空格）,播放（空白鍵）,تشغيل (مسافة),Wiedergabe (Leertaste),Reproducir (Espacio),Lecture (Espace),Putar (Spasi),Riproduci (Spazio),再生（スペース）,재생 (Space),Afspelen (Spatie),Odtwarzanie (Spacja),Reproduzir (Espaço),Воспроизведение (Пробел),เล่น (Space),Oynat (Boşluk),Phát (Space)
a11y.play_pronunciation,Play pronunciation,播放发音,播放發音,تشغيل النطق,Aussprache abspielen,Reproducir pronunciación,Lire la prononciation,Putar pengucapan,Riproduci pronuncia,発音を再生,발음 재생,Uitspraak afspelen,Odtwórz wymowę,Reproduzir pronúncia,Воспроизвести произношение,เล่นการออกเสียง,Telaffuzu oynat,Phát âm
a11y.previous_line,Previous line (←),上一行（←）,上一行（←）,السطر السابق (←),Vorherige Zeile (←),Línea anterior (←),Ligne précédente (←),Baris sebelumnya (←),Riga precedente (←),前の行（←）,이전 줄 (←),Vorige regel (←),Poprzednia linia (←),Linha anterior (←),Предыдущая строка (←),บรรทัดก่อนหน้า (←),Önceki satır (←),Dòng trước (←)
a11y.previous_video,Previous video (Shift + ←),上一个视频（Shift + ←）,上一部影片（Shift + ←）,الفيديو السابق (Shift + ←),Vorheriges Video (Shift + ←),Video anterior (Mayús + ←),Vidéo précédente (Maj + ←),Video sebelumnya (Shift + ←),Video precedente (Shift + ←),前の動画（Shift + ←）,이전 동영상 (Shift + ←),Vorige video (Shift + ←),Poprzedni film (Shift + ←),Vídeo anterior (Shift + ←),Предыдущее видео (Shift + ←),วิดีโอก่อนหน้า (Shift + ←),Önceki video (Shift + ←),Video trước (Shift + ←)
