key,en,zh-Hans,zh-Hant,af,ar,ca,de,el,es,fi,fr,ga,hi,hr,hu,id,it,ja,ko,nl,no,pl,pt,ro,ru,sr,sv,sw,th,tr,vi
action.cancel,Cancel,取消,取消,Kanselleer,إلغاء,Cancel·lar,Abbrechen,Ακύρωση,Cancelar,Peruuta,Annuler,Cealaigh,रद्द करें,Odustani,Mégse,Batal,Annulla,キャンセル,취소,Annuleren,Avbryt,Anuluj,Cancelar,Anulează,Отмена,Otkaži,Avbryt,Ghairi,ยกเลิก,İptal,Hủy
action.clear,Clear,清除,清掉,Maak skoon,مسح,Esborrar,Löschen,Εκκαθάριση,Borrar,Tyhjennä,Effacer,Glan,साफ करें,Očisti,Törlés,Bersihkan,Cancella,クリア,지우기,Wissen,Tøm,Wyczyść,Limpar,Șterge,Очистить,Obriši,Rensa,Futa,ล้าง,Temizle,Xóa
action.confirm_cancellation,Confirm Cancellation,确认取消,確定要取消嗎,Bevestig kansellasie,تأكيد الإلغاء,Confirmar cancel·lació,Stornierung bestätigen,Επιβεβαίωση ακύρωσης,Confirmar cancelación,Vahvista peruutus,Confirmer l'annulation,Deimhnigh cealú,रद्द करने की पुष्टि करें,Potvrdi otkazivanje,Megerősítés törlése,Konfirmasi Pembatalan,Conferma cancellazione,キャンセルの確認,취소 확인,Annulering bevestigen,Bekreft avbestilling,Potwierdź anulowanie,Confirmar Cancelamento,Confirmă anularea,Подтвердить отмену,Potvrdi otkazivanje,Bekräfta avbokning,Thibitisha Kufutwa,ยืนยันการยกเลิก,İptali Onayla,Xác nhận hủy
action.confirm_deletion,Confirm Deletion,确认删除,確定要刪除嗎,Bevestig verwydering,تأكيد الحذف,Confirmar eliminació,Löschung bestätigen,Επιβεβαίωση διαγραφής,Confirmar eliminación,Vahvista poisto,Confirmer la suppression,Deimhnigh scriosadh,हटाने की पुष्टि करें,Potvrdi brisanje,Törlés megerősítése,Konfirmasi Penghapusan,Conferma eliminazione,削除の確認,삭제 확인,Verwijdering bevestigen,Bekreft sletting,Potwierdź usunięcie,Confirmar Exclusão,Confirmă ștergerea,Подтвердить удаление,Potvrdi brisanje,Bekräfta radering,Thibitisha Ufutaji,ยืนยันการลบ,Silme İşlemini Onayla,Xác nhận xóa
action.copy,Copy,复制,複製,Kopieer,نسخ,Copiar,Kopieren,Αντιγραφή,Copiar,Kopioi,Copier,Cóipeáil,प्रतिलिपि बनाएँ,Kopiraj,Másolás,Salin,Copia,コピー,복사,Kopiëren,Kopier,Kopiuj,Copiar,Copiază,Копировать,Kopiraj,Kopiera,Nakala,คัดลอก,Kopyala,Sao chép
action.keep_account,Keep Account,保留账户,保留帳號,Behou rekening,الاحتفاظ بالحساب,Mantenir compte,Konto behalten,Διατήρηση λογαριασμού,Mantener cuenta,Säilytä tili,Conserver le compte,Coinnigh cuntas,खाता बनाए रखें,Zadrži račun,Fiók megtartása,Simpan Akun,Mantieni account,アカウントを保持する,계정 유지,Account behouden,Behold konto,Zachowaj konto,Manter Conta,Păstrează contul,Сохранить аккаунт,Zadrži nalog,Behåll konto,Hifadhi Akaunti,เก็บบัญชี,Hesabı Sakla,Giữ tài khoản
action.keep_subscription,Keep Subscription,保留订阅,保留訂閱,Behou inskrywing,الاحتفاظ بالاشتراك,Mantenir subscripció,Abonnement behalten,Διατήρηση συνδρομής,Mantener suscripción,Säilytä tilaus,Conserver l'abonnement,Coinnigh síntiús,सदस्यता बनाए रखें,Zadrži pretplatu,Előfizetés megtartása,Simpan Langganan,Mantieni abbonamento,サブスクリプションを保持する,구독 유지,Abonnement behouden,Behold abonnement,Zachowaj subskrypcję,Manter Assinatura,Păstrează abonamentul,Сохранить подписку,Zadrži pretplatu,Behåll prenumeration,Hifadhi Usajili,เก็บการสมัครสมาชิก,Aboneliği Sakla,Giữ đăng ký
action.let_chatgpt_explain,Ask AI,询问人工智能,問問AI,Vra KI,اسأل الذكاء الاصطناعي,Preguntar a la IA,KI fragen,Ρωτήστε την τεχνητή νοημοσύνη,Preguntar a la IA,Kysy tekoälyltä,Demander à l'IA,Fiafraigh den AI,AI से पूछें,Pitaj AI,Kérdezd a mesterséges intelligenciát,Tanya AI,Chiedi all'IA,AIに質問する,AI에 물어보기,Vraag AI,Spør AI,Zapytaj AI,Perguntar à IA,Întreabă AI,Спросить ИИ,Pitaj AI,Fråga AI,Uliza AI,ถาม AI,AI'ye Sor,Hỏi AI
action.list_all,List All,列出全部,全部列出來,Lys alles,عرض الكل,Llistar tot,Alle auflisten,Λίστα όλων,Listar todo,Listaa kaikki,Lister tout,Liostáil gach rud,सभी सूचीबद्ध करें,Prikaži sve,Összes listázása,Daftar Semua,Elenca tutto,すべてをリスト,모두 나열,Alles tonen,List alle,Wyświetl wszystko,Listar Todos,Afișează tot,Показать все,Prikaži sve,Lista alla,Orodhesha Zote,แสดงทั้งหมด,Tümünü Listele,Liệt kê tất cả
action.login,Login,登录,登入,Teken in,تسجيل الدخول,Iniciar sessió,Anmelden,Σύνδεση,Iniciar sesión,Kirjaudu sisään,Connexion,Logáil isteach,लॉग इन करें,Prijava,Bejelentkezés,Masuk,Accedi,ログイン,로그인,Inloggen,Logg inn,Zaloguj się,Entrar,Conectare,Войти,Prijavi se,Logga in,Ingia,เข้าสู่ระบบ,Giriş Yap,Đăng nhập
